code,name,ladder,optional
1,Kindergarten - 2. Klasse,12,0
"1,2",Kindergarten - 6. Klasse,1234,0
"1,2a",Kindergarten - 4. Klasse,123,0
1b,1. - 2. Klasse,2,0
"1b,2a",1. - 4. Klasse,23,0
2,3. - 6. Klasse,34,0
"2,3",3. - 9. Klasse,3456,0
"2,3a",3. - 8. Klasse,345,0
2a,3. - 4. Klasse,3,0
2b,5. - 6. Klasse,4,0
"2b,3",5. - 9. Klasse,456,0
"2b,3a",5. - 8. Klasse,45,0
"2b,3ao",5. - 8. Klasse,45,1
3,7. - 9. Klasse,56,0
3a,7. - 8. Klasse,5,0
3ao,7. - 8. Klasse,5,1
3b,9. Klasse,6,0
3bo,9. Klasse,6,1
3o,7. - 9. Klasse,56,1
