"subject","competence","code","cycle","text"
"D","D.1.A.1","D.1.A.1.a","1","können die Aufmerksamkeit auf die sprechende Person und deren Beitrag richten.
"
"D","D.1.A.1","D.1.A.1.b","1","können Klänge, Geräusche sowie Reime, Silben und einzelne Laute (z.B. Anlaute) heraushören (phonologische Bewusstheit).
"
"D","D.1.A.1","D.1.A.1.c","1","können den Tonfall einer Stimme in der entsprechenden Situation deuten (z.B. Lautstärke, Geschwindigkeit, Stimmlage).
"
"D","D.1.A.1","D.1.A.1.d","1","können unterschiedliche Laute und Lautverbindungen heraushören, im Wort verorten (Anlaut, Mittellaute, Endlaut) und mit Erfahrungen aus der Erstsprache vergleichen.
können einzelne Wörter und Wendungen in vertrauten Situationen verstehen oder deren Bedeutung erfragen und so ihren rezeptiven Wortschatz erweitern.
"
"D","D.1.A.1","D.1.A.1.e","1,2a","können nonverbale Mittel (z.B. Gestik, Mimik, Körperhaltung) und paraverbale Mittel (z.B. Intonation, Sprechfluss) in der Hörsituation deuten.
können eine Hörerwartung aufbauen und die nötige Ausdauer aufbringen, um einem längeren Hörbeitrag zu folgen.
"
"D","D.1.A.1","D.1.A.1.f","2a","können in anforderungsreichen Situationen (z.B. Zeitdruck, Nebengeräusche) Emotionen der sprechenden Person einschätzen.
können Wörter und Wendungen in unterschiedlichen Situationen verstehen und so ihren rezeptiven Wortschatz erweitern.
"
"D","D.1.A.1","D.1.A.1.g","2b,3a","können unterschiedliche Sprachregister aufgrund des Wortschatzes erkennen (z.B. Fachsprachen, Jugendsprachen, Sportsprachen).
"
"D","D.1.A.1","D.1.A.1.h","3a","können Wörter und Wendungen in unterschiedlichen Situationen verstehen, sie Sprachregistern zuordnen und so ihren rezeptiven Wortschatz differenzieren.
"
"D","D.1.B.1","D.1.B.1.a","1","können einfache Aufträge und Erklärungen zu bekannten Sachthemen und Alltagssituationen verstehen und ausführen (z.B. alltägliche Abläufe).
können zum Hörtext etwas Passendes produzieren (z.B. inneres Bild zeichnen, etwas formen, spielerisch darstellen).
"
"D","D.1.B.1","D.1.B.1.b","1","können erzählen, was sie aus Hörtexten erfahren haben (z.B. vorgelesene Erzählung, erzähltes Sachthema, Bilderbuch, Verse).
können der Handlung einer einfachen Erzählung folgen.
"
"D","D.1.B.1","D.1.B.1.c","1","können Mitteilungen und Erklärungen verstehen und Aufträge ausführen.
können einem kurzen Hörtext (z.B. Erzählung) bis zum Ende folgen und die für sie bedeutsamen Inhalte wiedergeben.
können einzelne im Hörtext genannte Wörter und Wendungen erfragen und so ihren rezeptiven Wortschatz erweitern.
"
"D","D.1.B.1","D.1.B.1.d","1,2a","können ein globales Hörverständnis zu verschiedenen Hörtexten aufbauen (z.B. Erzählung, Theaterstück, Szene aus Film, Gedicht, Sachtext).
können Wichtiges in einfachen Mitteilungen erkennen (z.B. telefonische Auskunft, Lautsprecherdurchsage).
können die Bedeutung einfacher unbekannter Wörter aus dem Kontext erschliessen.
"
"D","D.1.B.1","D.1.B.1.e","2b","können mit Unterstützung eine Hörerwartung aufbauen (z.B. Vorwissen aktivieren, durch vorheriges Lesen der Hörverständnis-Fragen).
können Hörtexten folgen, naheliegende implizite Informationen erschliessen und kurze Szenen (aus einer Hörgeschichte) nachspielen.
"
"D","D.1.B.1","D.1.B.1.f","2b","können unter Anleitung wichtige, auch implizite Informationen eines Hörtextes verstehen und wiedergeben (z.B. Bericht, Vortrag, Hörspiel).
können Kernaussagen von Erklärungen und Berichten verstehen, notieren und visualisieren (z.B. Mindmap, Diagramm).
können die Bedeutung von unbekannten Wörtern aus dem Kontext erschliessen, erfragen oder mit Unterstützung mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) nachschlagen und damit ihren rezeptiven Wortschatz erweitern.
"
"D","D.1.B.1","D.1.B.1.g","2b,3a","können komplexere, mehrteilige Aufträge verstehen und ausführen.
können längeren Theaterstücken, Filmen und Hörspielen folgen.
können die Bedeutung von unbekannten Wörtern erfragen oder mit geeigneten Hilfsmitteln erschliessen und differenzieren damit ihren rezeptiven Wortschatz aus.
"
"D","D.1.B.1","D.1.B.1.h","3bo","können fehlende Informationen (z.B. bei einem Vortrag, Fernsehsendung) selbstständig erkennen, erfragen oder mit geeigneten Hilfsmitteln erschliessen.
können ein gezieltes Hörverständnis verschiedener Hörtexte aufbauen, um das Wichtigste zusammenzufassen (z.B. Bericht, Vortrag, Theaterstück).
"
"D","D.1.C.1","D.1.C.1.a","1","können in einer vertrauten Gesprächssituation dem Gesprochenen folgen und ihre Beteiligung zeigen.
"
"D","D.1.C.1","D.1.C.1.b","1","können Gesprächen folgen und dabei ihre Aufmerksamkeit nonverbal (z.B. Mimik, Körpersprache), paraverbal (z.B. Intonation) und verbal (Worte) zeigen.
können sich wichtige Inhalte aus einem Gespräch merken.
können an einem Gespräch teilnehmen und die entsprechenden Gesprächsregeln meist einhalten (z.B. zuhören, ausreden lassen).
"
"D","D.1.C.1","D.1.C.1.c","1,2a","können in vertrauten Kommunikationssituationen Stimmungen wahrnehmen (z.B. emotionale Verletzung, Betroffenheit, Wut, Ärger, Freude).
können Gesprächsbeiträgen folgen und sich für sie Bedeutsames merken.
können nachfragen, wenn sie etwas in einem Gespräch nicht verstanden haben.
"
"D","D.1.C.1","D.1.C.1.d","2a","können ihre Aufmerksamkeit in einem längeren Gespräch aufrecht erhalten und sich passend einbringen.
können längere Gespräche so verstehen, dass sie deren Inhalt wiedergeben können.
"
"D","D.1.C.1","D.1.C.1.e","2b","können verschiedenen, längeren Gesprächen folgen und dabei ihre aktive Beteiligung nonverbal, paraverbal und verbal zeigen (aktives Zuhören).
können vertraute Kommunikationssituationen, die Absichten der Sprechenden und die emotionale Wirkung von Gehörtem einschätzen.
können im Gespräch gezielt nachfragen, wenn sie etwas genauer wissen möchten. Sie können damit ihren Wortschatz erweitern.
können an einem Gespräch teilnehmen und die entsprechenden Gesprächsregeln meist einhalten (z.B. zuhören, ausreden lassen).
"
"D","D.1.C.1","D.1.C.1.f","2b,3a","können in Aushandlungs- oder Konfliktsituationen das Gesprächsverhalten der anderen einschätzen und angemessen reagieren.
"
"D","D.1.C.1","D.1.C.1.g","3a","können in Diskussionen und Debatten das Gesprächsverhalten und die darin liegende Strategie der anderen einschätzen, um mit eigenen Beiträgen angemessen reagieren zu können.
können im Gespräch gezielt nachfragen, um eine Begründung einzufordern.
können sich in einem Gespräch mit unbekannten Erwachsenen (in einem Vorstellungsgespräch, Schnupperlehre) auf die Person und die Situation einstellen.
"
"D","D.1.C.1","D.1.C.1.h","3bo","können in Konfliktsituationen die eigenen und die Emotionen der anderen wahrnehmen und im Gespräch thematisieren.
können verschiedene Gesprächsbeiträge so zusammenfassen, dass die wesentlichen Elemente des ganzen Gesprächs deutlicher werden.
können nonverbale und paraverbale Signale im Gespräch bewusst einsetzen, um die eigene Absicht durchzusetzen.
"
"D","D.1.D.1","D.1.D.1.a","1","können sich unter Anleitung und mithilfe konkreter Fragen mit anderen über Erzähltes austauschen.
können sich mithilfe konkreter Fragen über ein Gespräch und ihr Gesprächsverhalten austauschen.
"
"D","D.1.D.1","D.1.D.1.b","2a","können sich Störfaktoren einer Gesprächssituation bewusst machen und sie beim Zuhören berücksichtigen (z.B. Lärmpegel, undeutliche Aussprache).
"
"D","D.1.D.1","D.1.D.1.c","2b","können mithilfe von Leitfragen beschreiben, welche Hörstrategien sie beim Zuhören anwenden, um das Gehörte zu verstehen (z.B. einen Hörtext in Portionen abspielen, Fragen vor dem Zuhören lesen).
können sich unter Anleitung darüber austauschen, welche Wirkung ein Gesprächsbeitrag auf sie hat.
"
"D","D.1.D.1","D.1.D.1.d","3a","können mithilfe von Leitfragen das eigene Verständnis und den Aussagegehalt des Gesagten beurteilen.
können mithilfe von Leitfragen beschreiben, wo sie beim Zuhören Probleme hatten und wie sie ihre Hörstrategien anpassen könnten (z.B. Notizen machen).
können mit Unterstützung beschreiben, was ihnen das Zuhören erleichtert (z.B. sich in Bezug auf Thema, Person, Gesprächssituation vorbereiten, nachfragen).
können unter Anleitung das eigene Hör- bzw. Gesprächsverhalten reflektieren, um daraus fürs nächste Gespräch Schlussfolgerungen zu ziehen.
"
"D","D.1.D.1","D.1.D.1.e","3bo","können darüber nachdenken, wie sie einen Hörtext, Film oder Redebeitrag verstanden haben und welche Informationen für ihr Ziel besonders relevant sind.
können ihr Verständnis eines Redebeitrags mit Bezug auf das Gehörte begründen.
können über die unterschiedliche Aussagekraft von vorgebrachten Argumenten nachdenken.
"
"D","D.2.A.1","D.2.A.1.a","1","können Piktogramme und einfache Wortbilder aus ihrem Alltagsleben wieder erkennen (z.B. Migros, Coop, Volg, Coca Cola).
können einzelne Buchstaben wiedererkennen (z.B. aus dem eigenen Namen).
können einen Zugang zu (Bilder-)Büchern finden.
"
"D","D.2.A.1","D.2.A.1.b","1","können die passende Beziehung zwischen Buchstaben und Lauten herstellen sowie Buchstaben zu Silben und kurzen Wörtern aus dem schulnahen Wortschatz verbinden.
können kurze Sätze langsam erlesen.
"
"D","D.2.A.1","D.2.A.1.c","1","erkennen vertraute Wörter auf einen Blick (Sichtwortschatz).
können kurze Texte, deren Thema vertraut ist, laut oder still lesen.
"
"D","D.2.A.1","D.2.A.1.d","1,2a","erkennen häufig wiederkehrende Morpheme auf einen Blick (z.B. ver-, vor-, nach- als Vormorpheme, bekannte Stamm-Morpheme).
"
"D","D.2.A.1","D.2.A.1.e","2a","können eine inhaltliche und grammatische Leseerwartung aufbauen.
"
"D","D.2.A.1","D.2.A.1.f","2b","können einen längeren geübten Text flüssig vorlesen.
können Wörter bzw. Wortbilder, die ihnen vertraut sind, schnell erkennen (rezeptiver Wortschatz aktivieren).
"
"D","D.2.A.1","D.2.A.1.g","2b,3a","verfügen über ein Lesetempo, das dem Textverstehen dient.
"
"D","D.2.A.1","D.2.A.1.h","3a","können einen geübten Text flüssig, mit angemessener Intonation und verständlich vorlesen.
können Wörter und Wendungen in unterschiedlichen Texten verstehen, sie Sprachregistern zuordnen (z.B. Fachsprache) und so ihren rezeptiven Wortschatz differenzieren.
"
"D","D.2.B.1","D.2.B.1.a","1","können einfache Sachverhalte in Bildern und Aufträge in Bildform verstehen.
können einfache Piktogramme aus ihrem Alltagsleben lesen und verstehen.
können erzählen, was sie durch Medien erfahren haben (z.B. Kindersendung, Film, Lernspiel).
"
"D","D.2.B.1","D.2.B.1.b","1","können kurze Sätze zu einem Sachthema mit Bild-Unterstützung oder unter Anleitung verstehen.
können wichtige Wörter zum behandelten Thema lesen und verstehen.
"
"D","D.2.B.1","D.2.B.1.c","1","können Abbildungen und Text bei bebilderten Sachtexten zueinander in Beziehung setzen.
können die nötige Ausdauer aufbringen, um übersichtlich strukturierte Sachtexte zu Themen, die sie interessieren, zu lesen.
können mithilfe von gezielten Fragen einen einfachen Sachtext als Ganzes verstehen und wichtige Informationen entnehmen.
"
"D","D.2.B.1","D.2.B.1.d","1,2a","können unter Anleitung die Bibliothek als Ort zur Lektüre- und Informationsbeschaffung nutzen.
können aus kurzen, mit Titel und Absätzen übersichtlich strukturierten und illustrierten Sachtexten wesentliche Informationen entnehmen.
"
"D","D.2.B.1","D.2.B.1.e","2a","können übersichtliche Sachtexte mit Fotos und Abbildungen überblicken.
können das eigene Vorwissen aktivieren und mithilfe von eigenen oder vorgegebenen Fragen eine Leseerwartung aufbauen.
können Abbildungen zum Verstehen des Textes nutzen.
können in kurzen Sachtexten mit Unterstützung Wesentliches markieren und Unklarheiten kennzeichnen.
"
"D","D.2.B.1","D.2.B.1.f","2b","können die Struktur eines Textes erkennen und explizite Informationen entnehmen.
können einen übersichtlich strukturierten, kürzeren Text als Ganzes verstehen, auch wenn sie einzelne Wörter nicht verstehen.
können mithilfe von zielgerichteten Fragen naheliegende implizite Informationen erschliessen und Abbildungen und Text zueinander in Bezug setzen.
können die Bedeutung von unbekannten Wörtern aus dem Kontext erschliessen, erfragen oder mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) nachschlagen und damit ihren rezeptiven Wortschatz erweitern.
"
"D","D.2.B.1","D.2.B.1.g","2b,3a","können unter Anleitung Informationen aus übersichtlichen Grafiken, Diagrammen und Tabellen entnehmen.
können Sachtexte im Rahmen einer Recherche beschaffen (z.B. im Internet, in der Bibliothek) und die darin enthaltenen Informationen mithilfe von Leitfragen für weitere Arbeiten nutzen (z.B. Referat).
können Informationen aus unterschiedlichen Sachtexten unter Anleitung verarbeiten (z.B. Stichwortliste, Mindmap, Zeitstrahl).
"
"D","D.2.B.1","D.2.B.1.h","3a","können wesentliche Informationen aus diskontinuierlichen Sachtexten für den eigenen Wissensaufbau entnehmen, indem sie auch Zusammenhänge zwischen Text und Abbildungen herstellen (z.B. Artikel aus Internet, Anleitung).
können einen übersichtlich strukturierten Text als Ganzes verstehen sowie zentrale Elemente erkennen und mit der eigenen Lebenswelt in Verbindung bringen (z.B. Artikel aus Jugendzeitschrift).
können mit Unterstützung längere diskontinuierliche Sachtexte überblicken und sich im Text orientieren.
können mit Unterstützung die Bedeutung von unbekannten Wörtern aus dem Kontext oder mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) erschliessen und differenzieren damit ihren rezeptiven Wortschatz aus.
können Informationen aus unterschiedlichen Sachtexten verarbeiten (z.B. Stichwortliste weiterführen, Mindmap ergänzen, Zeitstrahl bezeichnen).
können das Angebot einer Bibliothek nutzen und bei Bedarf Unterstützung selbstständig anfordern (z.B. für die Berufsfindung).
"
"D","D.2.B.1","D.2.B.1.i","3bo","können sich eine eigene Meinung zu Aussagen und Wertvorstellungen aus Texten bilden und diese präsentieren.
können Sachtexte aus dem Internet auf ihre Vertrauenswürdigkeit kritisch hinterfragen.
"
"D","D.2.C.1","D.2.C.1.a","1","können in einem Bild eine Situation erkennen (z.B. Figur, Handlung, mögliche Geschichte).
können sich aus aneinander gereihten Bildern eine Geschichte vorstellen und diese im Gespräch erzählen (z.B. Bilderbuch).
"
"D","D.2.C.1","D.2.C.1.b","1","können erzählte und vorgelesene Texte verstehen und darin den Handlungsstrang erkennen (z.B. kleine Geschichte, Bilderbuch, Vers, Abzählreim).
können einen linearen Erzählverlauf mit einer dazu gehörenden Bildabfolge verbinden.
"
"D","D.2.C.1","D.2.C.1.c","1","können mithilfe von Nachfragen in Texten Handlungen und typische Eigenschaften der Figuren verstehen.
können sich unter Anleitung zentrale Handlungen, Orte und Figuren in kurzen Geschichten bildlich vorstellen und mit der eigenen Lebenswelt in Verbindung bringen.
können ihren rezeptiven Wortschatz erweitern, indem sie ihre Aufmerksamkeit unter Anleitung auf bestimmte Wörter und Wendungen richten.
kennen die Bibliothek als Ort mit reichhaltigem Leseangebot und können unter Anleitung Hörbücher, Bücher und andere Medien auswählen.
"
