level_code,level_text,subject_code,subject_name,subject_nick,subject_color,comptetence_code,competence_title,competence_text,cycle_code,cycle_name,cycle_ladder,cycle_optional
D.1.A.1.a,"können die Aufmerksamkeit auf die sprechende Person und deren Beitrag richten.
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.1.A.1.b,"können Klänge, Geräusche sowie Reime, Silben und einzelne Laute (z.B. Anlaute) heraushören (phonologische Bewusstheit).
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.1.A.1.c,"können den Tonfall einer Stimme in der entsprechenden Situation deuten (z.B. Lautstärke, Geschwindigkeit, Stimmlage).
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.1.A.1.d,"können unterschiedliche Laute und Lautverbindungen heraushören, im Wort verorten (Anlaut, Mittellaute, Endlaut) und mit Erfahrungen aus der Erstsprache vergleichen.
können einzelne Wörter und Wendungen in vertrauten Situationen verstehen oder deren Bedeutung erfragen und so ihren rezeptiven Wortschatz erweitern.
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",1,Kindergarten - 2. Klasse,12,0
D.1.A.1.e,"können nonverbale Mittel (z.B. Gestik, Mimik, Körperhaltung) und paraverbale Mittel (z.B. Intonation, Sprechfluss) in der Hörsituation deuten.
können eine Hörerwartung aufbauen und die nötige Ausdauer aufbringen, um einem längeren Hörbeitrag zu folgen.
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.","1,2a",Kindergarten - 4. Klasse,123,0
D.1.A.1.f,"können in anforderungsreichen Situationen (z.B. Zeitdruck, Nebengeräusche) Emotionen der sprechenden Person einschätzen.
können Wörter und Wendungen in unterschiedlichen Situationen verstehen und so ihren rezeptiven Wortschatz erweitern.
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",2a,3. - 4. Klasse,3,0
D.1.A.1.g,"können unterschiedliche Sprachregister aufgrund des Wortschatzes erkennen (z.B. Fachsprachen, Jugendsprachen, Sportsprachen).
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.","2b,3a",5. - 8. Klasse,45,0
D.1.A.1.h,"können Wörter und Wendungen in unterschiedlichen Situationen verstehen, sie Sprachregistern zuordnen und so ihren rezeptiven Wortschatz differenzieren.
",D,Deutsch,Deutsch,#fccdcc,D.1.A.1,Deutsch.Hören.Grundfertigkeiten,"Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.",3a,7. - 8. Klasse,5,0
D.1.B.1.a,"können einfache Aufträge und Erklärungen zu bekannten Sachthemen und Alltagssituationen verstehen und ausführen (z.B. alltägliche Abläufe).
können zum Hörtext etwas Passendes produzieren (z.B. inneres Bild zeichnen, etwas formen, spielerisch darstellen).
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.1.B.1.b,"können erzählen, was sie aus Hörtexten erfahren haben (z.B. vorgelesene Erzählung, erzähltes Sachthema, Bilderbuch, Verse).
können der Handlung einer einfachen Erzählung folgen.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.1.B.1.c,"können Mitteilungen und Erklärungen verstehen und Aufträge ausführen.
können einem kurzen Hörtext (z.B. Erzählung) bis zum Ende folgen und die für sie bedeutsamen Inhalte wiedergeben.
können einzelne im Hörtext genannte Wörter und Wendungen erfragen und so ihren rezeptiven Wortschatz erweitern.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,1,Kindergarten - 2. Klasse,12,0
D.1.B.1.d,"können ein globales Hörverständnis zu verschiedenen Hörtexten aufbauen (z.B. Erzählung, Theaterstück, Szene aus Film, Gedicht, Sachtext).
können Wichtiges in einfachen Mitteilungen erkennen (z.B. telefonische Auskunft, Lautsprecherdurchsage).
können die Bedeutung einfacher unbekannter Wörter aus dem Kontext erschliessen.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,"1,2a",Kindergarten - 4. Klasse,123,0
D.1.B.1.e,"können mit Unterstützung eine Hörerwartung aufbauen (z.B. Vorwissen aktivieren, durch vorheriges Lesen der Hörverständnis-Fragen).
können Hörtexten folgen, naheliegende implizite Informationen erschliessen und kurze Szenen (aus einer Hörgeschichte) nachspielen.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,2b,5. - 6. Klasse,4,0
D.1.B.1.f,"können unter Anleitung wichtige, auch implizite Informationen eines Hörtextes verstehen und wiedergeben (z.B. Bericht, Vortrag, Hörspiel).
können Kernaussagen von Erklärungen und Berichten verstehen, notieren und visualisieren (z.B. Mindmap, Diagramm).
können die Bedeutung von unbekannten Wörtern aus dem Kontext erschliessen, erfragen oder mit Unterstützung mit geeigneten Hilfsmitteln (z.B. Wörterbuch, Sachbuch, Internet) nachschlagen und damit ihren rezeptiven Wortschatz erweitern.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,2b,5. - 6. Klasse,4,0
D.1.B.1.g,"können komplexere, mehrteilige Aufträge verstehen und ausführen.
können längeren Theaterstücken, Filmen und Hörspielen folgen.
können die Bedeutung von unbekannten Wörtern erfragen oder mit geeigneten Hilfsmitteln erschliessen und differenzieren damit ihren rezeptiven Wortschatz aus.
",D,Deutsch,Deutsch,#fccdcc,D.1.B.1,Deutsch.Hören.Verstehen in monologischen Hörsituationen,Die Schülerinnen und Schüler können wichtige Informationen aus Hörtexten entnehmen.,"2b,3a",5. - 8. Klasse,45,0
